Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Hour of Request,Request Time Slot,Trip Duration (mins),Ride Outcome,Request Weekday
619,Airport,1,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,11,Morning,69.00,Success,Monday
867,Airport,1,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,17,Evening,50.00,Success,Monday
1807,City,1,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,9,Morning,41.00,Success,Tuesday
2532,Airport,1,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,21,Night,55.00,Success,Tuesday
3112,City,1,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,Morning,52.52,Success,Wednesday
3879,Airport,1,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,Night,31.52,Success,Wednesday
4270,Airport,1,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,Early Morning,57.72,Success,Thursday
5510,Airport,1,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,Early Morning,56.00,Success,Friday
6248,City,1,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,Evening,53.40,Success,Friday
267,City,2,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,6,Early Morning,39.00,Success,Monday
1467,Airport,2,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,5,Early Morning,54.00,Success,Tuesday
1983,City,2,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,12,Afternoon,27.00,Success,Tuesday
2784,Airport,2,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,Early Morning,33.72,Success,Wednesday
3075,City,2,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,Morning,73.43,Success,Wednesday
3379,City,2,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,Afternoon,72.27,Success,Wednesday
3482,Airport,2,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,Evening,57.55,Success,Wednesday
4652,City,2,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,Afternoon,35.73,Success,Thursday
5335,Airport,2,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,Night,54.65,Success,Thursday
535,Airport,3,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,10,Morning,31.00,Success,Monday
960,Airport,3,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,18,Evening,38.00,Success,Monday
1934,Airport,3,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,11,Morning,66.00,Success,Tuesday
2083,Airport,3,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,15,Afternoon,54.00,Success,Tuesday
2211,Airport,3,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,18,Evening,28.00,Success,Tuesday
3096,Airport,3,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,8,Morning,65.13,Success,Wednesday
3881,Airport,3,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21,Night,57.08,Success,Wednesday
5254,City,3,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21,Night,62.27,Success,Thursday
5434,City,3,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2,Late Night,43.08,Success,Friday
5916,City,3,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10,Morning,52.38,Success,Friday
669,City,4,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00,13,Afternoon,41.00,Success,Monday
1567,Airport,4,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00,6,Early Morning,49.00,Success,Tuesday
1826,City,4,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00,9,Morning,60.00,Success,Tuesday
2102,City,4,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00,16,Afternoon,52.00,Success,Tuesday
2847,Airport,4,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59,5,Early Morning,35.65,Success,Wednesday
3722,Airport,4,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19,Evening,34.08,Success,Wednesday
4075,City,4,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2,Late Night,64.05,Success,Thursday
4686,City,4,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13,Afternoon,44.30,Success,Thursday
5771,Airport,4,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20,8,Morning,67.23,Success,Friday
6106,Airport,4,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15,Afternoon,46.18,Success,Friday
312,City,5,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00,7,Early Morning,64.00,Success,Monday
577,Airport,5,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00,11,Morning,58.00,Success,Monday
1179,City,5,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00,20,Evening,47.00,Success,Monday
